id,title,description,price,url,image,categoryId
p33,Вертикально-расточной станок BM200 — ООО «КРОСС ЭКСПОРТ»,"Вертикально-расточной станок с фрезеровкой плоскости BM200. В наличии и под заказ, доставка по России, гарантия и техподдержка.",200,https://sto.cross-export.ru/bm200,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p34,Вертикально-расточной станок T200D — ООО «КРОСС ЭКСПОРТ»,"Вертикально-расточной станок с фрезеровкой плоскости T200D. В наличии и под заказ, доставка по России, гарантия и техподдержка.",200,https://sto.cross-export.ru/t200d,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p35,Вертикально-расточной станок TХ200D — ООО «КРОСС ЭКСПОРТ»,"Вертикально-расточной станок с фрезеровкой плоскости TХ200D. В наличии и под заказ, доставка по России, гарантия и техподдержка.",200,https://sto.cross-export.ru/tx200d,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p36,Вертикально-расточной станок TХМ200D — ООО «КРОСС ЭКСПОРТ»,"Вертикально-расточной станок с фрезеровкой плоскости TХМ200D. В наличии и под заказ, доставка по России, гарантия и техподдержка.",200,https://sto.cross-export.ru/txm200d,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p37,Станок фаски седла клапана BV120 — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов BV120. В наличии и под заказ, доставка по России, гарантия и техподдержка.",120,https://sto.cross-export.ru/bv120,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p38,Станок фаски седла клапана BV60 — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов BV60. В наличии и под заказ, доставка по России, гарантия и техподдержка.",60,https://sto.cross-export.ru/bv60,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p39,Станок фаски седла клапана BV60S — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов BV60S. В наличии и под заказ, доставка по России, гарантия и техподдержка.",60,https://sto.cross-export.ru/bv60s,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p40,Станок фаски седла клапана BV90 — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов BV90. В наличии и под заказ, доставка по России, гарантия и техподдержка.",90,https://sto.cross-export.ru/bv90,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p41,Станок фаски седла клапана LD180A — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов LD180A. В наличии и под заказ, доставка по России, гарантия и техподдержка.",180,https://sto.cross-export.ru/ld180a,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p42,Станок фаски седла клапана LD180L — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов LD180L. В наличии и под заказ, доставка по России, гарантия и техподдержка.",180,https://sto.cross-export.ru/ld180l,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p43,Станок фаски седла клапана LD180L+ — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов LD180L+. В наличии и под заказ, доставка по России, гарантия и техподдержка.",180,https://sto.cross-export.ru/ld180lplus,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p44,Станок фаски седла клапана LD180S — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов LD180S. В наличии и под заказ, доставка по России, гарантия и техподдержка.",180,https://sto.cross-export.ru/ld180s,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p45,Станок фаски седла клапана TL120 — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов Tendtool TL120. В наличии и под заказ, доставка по России, гарантия и техподдержка.",120,https://sto.cross-export.ru/tendtool_tl120,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p46,Станок фаски седла клапана TL120 XL — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов Tendtool TL120 XL. В наличии и под заказ, доставка по России, гарантия и техподдержка.",120,https://sto.cross-export.ru/tendtooltl120xl,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p47,Станок фаски седла клапана VT60 — ООО «КРОСС ЭКСПОРТ»,"Станок для обработки фаски седла клапанов VT60 (VSB-60). В наличии и под заказ, доставка по России, гарантия и техподдержка.",60,https://sto.cross-export.ru/vt60,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p48,Станок шлифовки клапанов LD100L — ООО «КРОСС ЭКСПОРТ»,"Станок для шлифовки клапанов LD100L. В наличии и под заказ, доставка по России, гарантия и техподдержка.",100,https://sto.cross-export.ru/ld100l,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
p49,Станок шлифовки клапанов LD100S — ООО «КРОСС ЭКСПОРТ»,"Станок для шлифовки клапанов LD100S. В наличии и под заказ, доставка по России, гарантия и техподдержка.",100,https://sto.cross-export.ru/ld100s,https://sto.cross-export.ru/images/tild3839-3564-4934-b966-366238393036___.jpg,1
